MiniProgram productId,stable SKU,商品,规格,售价分,当前资格,OS Product ID,OS SKU,OS状态,黑名单,口味选择,明确状态
bb,sku-0577cdd89af82a576085e72a1a6e7025da789cb6447b51d1a0ce0e3021cd6147,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b4,b4,b4",MAPPED_ELIGIBLE
bb,sku-3ad6497c8e0b5fe678edb24f069db77c87c7f2fda5cf3cb655ca50b6420911c2,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b4,b4,b5",MAPPED_ELIGIBLE
bb,sku-783d5966c49298dc4e3606d2e3b3862bba5364099b6a26623c36fad28ab28051,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b4,b4,b6",MAPPED_ELIGIBLE
bb,sku-1fbd0c1dede043b37af0a18b4feb11602a9f6afa8cc38e710e0c7bb6c158b17d,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b4,b5,b5",MAPPED_ELIGIBLE
bb,sku-f7b25a9b69ca9e40625a74229f781dc80fb6a9ac08ac5cb9826505cde14db11a,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b4,b5,b6",MAPPED_ELIGIBLE
bb,sku-a81d9c7c79903fb67edf16514141f91e0ed78a3e955c8e1dbbe6fac4cd46b4b9,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b4,b6,b6",MAPPED_ELIGIBLE
bb,sku-c96dd7df80a3c43666ca0044c7b620d743c26a7b3a73dfd53477c2970aef1e3e,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b5,b5,b5",MAPPED_ELIGIBLE
bb,sku-20263a90cd36e673461904d14c3217822b1b28aa86ce5e3830a4d629f722aa7f,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b5,b5,b6",MAPPED_ELIGIBLE
bb,sku-af941c6b87fcfdf07d1d53fe54f182ab6d42f8b91e1168a972b061531b2c50eb,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b5,b6,b6",MAPPED_ELIGIBLE
bb,sku-3224ad38e3e25846a11e090635cc620996787b2d1cc8be78fbbe34b61e728725,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b6,b6,b6",MAPPED_ELIGIBLE
bb,sku-bc830f9bf6c79766dda3db4b22756fd13df52a1607b32382e7b112a19041da66,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b2,b2,b2,b2",MAPPED_ELIGIBLE
bb,sku-ba6c0298d25c9192ee469ded4d7d34b2ffa9228363350c65e913535d6243be77,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b2,b2,b2,b3",MAPPED_ELIGIBLE
bb,sku-8dd28f061b92314b5b8d201ac1b78db6952bb3fb9818a0aece6fe2cc3616d826,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b2,b2,b2,b4",MAPPED_ELIGIBLE
bb,sku-a4ea39987324aa5a9745e799422b1a99e422d7b57069256ebb5c14e2893c5151,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b2,b2,b2,b5",MAPPED_ELIGIBLE
